biz_model,startup_count,total_revenue,median_revenue,startup_share,revenue_share
Commerce / marketplace / transactions,37,11855300,15000.0,0.14859437751004015,0.48616185848147464
Software / SaaS,120,5447300,19500.0,0.4819277108433735,0.2233827479444752
Content / education / media,36,4191200,18000.0,0.14457831325301204,0.17187262922638452
Services / agency / lead-gen,22,1673000,30000.0,0.08835341365461848,0.06860634393389514
Consumer app / subscription,34,1218700,12500.0,0.13654618473895583,0.04997642041377048
