gtm_model,startup_count,total_revenue,median_revenue,startup_share,revenue_share
Marketplace / SEO / performance,37,11855300,15000.0,0.14859437751004015,0.48616185848147464
PLG / inbound software,99,5008900,21000.0,0.39759036144578314,0.20540485124356686
Creator / content / audience-led,46,4444300,18000.0,0.18473895582329317,0.1822517479649792
Sales-led / outbound / SEO,33,1858300,16000.0,0.13253012048192772,0.07620512189620882
App-store / paid social / consumer,34,1218700,12500.0,0.13654618473895583,0.04997642041377048
